device_hub,quarter,month,year,Non-components created (month),Snapshot (month),Ready (month),Locate (month),Allocate (month),Receive (month),Alive (month),Recycle (month),Dispose (month),Shell (month),Migrate (month)
dh_lakalle,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_lakalle,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_lakalle,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_lakalle,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_lakalle,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_lakalle,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_reutilitzaupc,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q4,10,2017,1,1,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q4,12,2017,75,97,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q1,2,2018,130,130,0,0,0,0,0,0,0,0,0
dh_reciclanet,Q1,3,2018,1,1,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q4,12,2017,6,7,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q1,1,2018,91,100,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q1,2,2018,26,28,0,0,0,0,0,0,0,0,0
dhbeta_reutilitzaupc,Q1,3,2018,1,1,0,0,0,0,0,0,0,0,0
dh_andromines,Q4,10,2017,10,10,0,13,0,0,0,0,0,0,0
dh_andromines,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_andromines,Q4,12,2017,0,0,0,1,0,0,0,0,0,0,0
dh_andromines,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_andromines,Q1,2,2018,7,8,0,7,0,0,0,0,1,0,0
dh_andromines,Q1,3,2018,4,4,0,4,0,0,0,0,0,0,0
dh_acsrecycling,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_acsrecycling,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_acsrecycling,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_acsrecycling,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_acsrecycling,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_acsrecycling,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q1,2,2018,3,3,0,0,0,0,0,0,0,0,0
dh_tauorgar,Q1,3,2018,0,0,1,1,1,0,0,0,0,0,0
dh_alencop,Q4,10,2017,0,0,0,0,1,0,0,0,0,0,0
dh_alencop,Q4,11,2017,1,1,0,0,0,0,0,0,0,0,0
dh_alencop,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_alencop,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_alencop,Q1,2,2018,0,0,0,0,4,0,0,0,0,0,0
dh_alencop,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_donaloorg,Q4,10,2017,28,29,0,0,0,0,0,0,0,0,0
dh_donaloorg,Q4,11,2017,1,1,0,0,0,0,0,0,0,0,0
dh_donaloorg,Q4,12,2017,1,1,0,0,0,0,0,0,2,0,0
dh_donaloorg,Q1,1,2018,69,72,0,0,0,0,0,0,9,0,0
dh_donaloorg,Q1,2,2018,38,38,1,0,0,0,0,0,1,0,0
dh_donaloorg,Q1,3,2018,51,66,25,0,0,3,0,0,10,0,2
dh_iescastellbisbal,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_iescastellbisbal,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_iescastellbisbal,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_iescastellbisbal,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_iescastellbisbal,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_iescastellbisbal,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_secondchancemodesto,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_ereuseorg,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q4,10,2017,0,0,0,0,2,2,0,0,0,0,0
dh_solidanca,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,1,2018,4,4,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,2,2018,247,276,0,0,0,0,0,0,0,0,0
dh_solidanca,Q1,3,2018,6,6,1,1,1,1,0,0,0,0,0
dh_circuitreutilitzacat,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q4,11,2017,24,24,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,1,2018,1,1,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_circuitreutilitzacat,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,2
dh_computeraid,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_computeraid,Q1,1,2018,4,4,0,0,0,0,0,0,0,0,0
dh_computeraid,Q1,2,2018,72,72,0,0,0,63,0,0,0,0,0
dh_computeraid,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_engrunes,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,10,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,11,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q4,12,2017,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,1,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,2,2018,0,0,0,0,0,0,0,0,0,0,0
dh_trinijove,Q1,3,2018,0,0,0,0,0,0,0,0,0,0,0
